,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,fweight,maxEducLevel,college,regSalud,pea,formal,microEmpresa,sizeFirm,y_salary_m_hu
9105,4,3,0,37,132.0,1.0,48.0,303,7.0,0,1.0,1,1.0,0.0,5.0,6805
9107,4,2,1,34,36.0,1.0,60.0,255,3.0,0,,1,0.0,1.0,2.0,3111
9108,4,2,1,45,72.0,1.0,48.0,211,4.0,0,1.0,1,1.0,0.0,5.0,3797
9115,4,2,1,25,24.0,1.0,48.0,305,6.0,1,1.0,1,1.0,0.0,5.0,5833
9116,4,2,0,23,36.0,1.0,42.0,305,6.0,1,1.0,1,1.0,0.0,5.0,3888
9120,4,2,1,28,36.0,1.0,48.0,398,6.0,1,1.0,1,0.0,0.0,4.0,3888
9144,4,3,0,29,60.0,1.0,40.0,219,6.0,1,1.0,1,1.0,0.0,5.0,4841
9146,4,2,0,35,37.0,1.0,48.0,290,4.0,0,1.0,1,1.0,0.0,5.0,3797
9147,4,2,1,26,18.0,1.0,48.0,290,6.0,1,1.0,1,1.0,0.0,5.0,3797
9150,4,2,1,64,240.0,1.0,60.0,266,4.0,0,1.0,1,0.0,1.0,2.0,3111
9151,4,2,0,44,240.0,1.0,24.0,266,6.0,1,1.0,1,1.0,1.0,2.0,3888
9156,4,3,1,49,15.0,1.0,48.0,255,6.0,1,1.0,1,1.0,0.0,4.0,6319
9163,4,2,0,28,108.0,1.0,48.0,219,7.0,0,1.0,1,1.0,0.0,4.0,8750
9164,4,5,1,58,324.0,1.0,48.0,184,7.0,0,1.0,1,1.0,0.0,5.0,34027
9165,4,5,0,53,348.0,1.0,42.0,184,7.0,0,1.0,1,1.0,0.0,5.0,12777
9166,4,5,1,24,12.0,1.0,24.0,184,7.0,0,1.0,1,1.0,0.0,5.0,11472
9171,4,1,0,27,12.0,1.0,48.0,337,6.0,1,1.0,1,1.0,0.0,5.0,3888
9172,4,3,1,48,24.0,1.0,48.0,322,6.0,1,1.0,1,1.0,0.0,5.0,3797
9176,4,1,1,47,24.0,1.0,48.0,259,6.0,1,2.0,1,1.0,0.0,5.0,3797
9185,4,1,0,32,4.0,3.0,72.0,243,5.0,0,1.0,1,1.0,1.0,2.0,2531
9186,4,1,1,49,12.0,1.0,48.0,243,4.0,0,1.0,1,1.0,1.0,2.0,3797
9187,4,2,1,35,1.0,1.0,48.0,213,4.0,0,,1,0.0,1.0,2.0,3402
9188,4,2,0,33,4.0,1.0,18.0,213,6.0,1,3.0,1,0.0,1.0,2.0,1296
9192,4,3,0,52,348.0,1.0,60.0,231,6.0,1,1.0,1,1.0,0.0,3.0,3038
9194,4,3,1,27,12.0,1.0,25.0,231,7.0,0,,1,0.0,0.0,5.0,5366
9196,4,3,1,28,18.0,1.0,48.0,231,6.0,1,1.0,1,1.0,0.0,3.0,6319
9198,4,5,0,58,225.0,1.0,55.0,205,7.0,0,2.0,1,1.0,0.0,5.0,42424
9200,4,5,1,62,180.0,1.0,48.0,205,7.0,0,1.0,1,1.0,0.0,5.0,38888
9203,4,3,1,30,96.0,2.0,66.0,243,6.0,1,2.0,1,1.0,0.0,5.0,5515
9204,4,1,1,26,1.0,1.0,48.0,255,6.0,1,1.0,1,1.0,0.0,5.0,4666
9205,4,1,1,27,17.0,1.0,56.0,222,6.0,1,1.0,1,1.0,0.0,5.0,3958
9206,4,1,0,24,36.0,1.0,48.0,222,6.0,1,1.0,1,1.0,0.0,5.0,4083
9208,4,5,0,47,48.0,1.0,40.0,184,7.0,0,1.0,1,1.0,0.0,5.0,46666
9213,4,3,1,49,60.0,1.0,56.0,389,7.0,0,1.0,1,1.0,1.0,2.0,8333
9215,4,3,0,36,12.0,1.0,40.0,389,7.0,0,1.0,1,1.0,0.0,5.0,8750
9223,4,2,1,59,96.0,1.0,48.0,172,5.0,0,1.0,1,1.0,0.0,5.0,7354
9227,4,2,1,56,12.0,1.0,48.0,261,6.0,1,1.0,1,1.0,0.0,5.0,5590
9228,4,2,0,29,12.0,1.0,48.0,261,6.0,1,1.0,1,1.0,0.0,4.0,3797
9229,4,2,1,52,36.0,1.0,48.0,243,6.0,1,1.0,1,1.0,0.0,3.0,4375
9230,4,2,0,47,36.0,1.0,48.0,243,5.0,0,1.0,1,1.0,0.0,4.0,3888
9232,4,2,0,34,66.0,2.0,48.0,243,7.0,0,1.0,1,1.0,0.0,5.0,8750
9234,4,3,0,22,30.0,1.0,48.0,224,7.0,0,1.0,1,1.0,0.0,3.0,5833
9235,4,3,1,32,8.0,1.0,108.0,224,4.0,0,3.0,1,0.0,1.0,2.0,1944
9246,4,5,0,54,180.0,1.0,40.0,217,7.0,0,1.0,1,1.0,0.0,5.0,70000
9248,4,2,0,51,36.0,1.0,32.0,246,6.0,1,1.0,1,0.0,1.0,2.0,2916
9249,4,2,1,32,48.0,1.0,40.0,246,7.0,0,1.0,1,1.0,0.0,5.0,12833
9253,4,5,1,39,168.0,1.0,52.0,246,7.0,0,1.0,1,1.0,0.0,5.0,35897
9254,4,5,0,35,120.0,1.0,52.0,246,7.0,0,1.0,1,1.0,0.0,5.0,17051
9263,4,2,0,39,12.0,1.0,48.0,243,6.0,1,1.0,1,1.0,0.0,5.0,3888
9264,4,2,1,19,10.0,1.0,48.0,243,7.0,0,1.0,1,1.0,0.0,4.0,3888
9265,4,1,1,41,24.0,1.0,48.0,210,3.0,0,1.0,1,1.0,0.0,5.0,4375
9268,4,1,1,51,36.0,1.0,48.0,184,4.0,0,1.0,1,1.0,0.0,4.0,3797
9270,4,1,0,20,24.0,1.0,48.0,184,6.0,1,1.0,1,1.0,0.0,4.0,3797
9273,4,1,0,52,264.0,1.0,48.0,246,6.0,1,1.0,1,1.0,0.0,5.0,3797
9277,4,5,1,58,300.0,1.0,20.0,148,7.0,0,1.0,1,1.0,1.0,2.0,11666
9282,4,2,1,33,30.0,1.0,50.0,368,6.0,1,1.0,1,1.0,0.0,5.0,11666
9283,4,2,0,33,60.0,1.0,48.0,368,6.0,1,1.0,1,1.0,0.0,3.0,3797
9285,4,1,1,28,12.0,1.0,48.0,290,3.0,0,1.0,1,1.0,0.0,3.0,3797
9287,4,2,0,36,10.0,1.0,40.0,212,7.0,0,1.0,1,1.0,0.0,5.0,8750
9288,4,2,1,40,2.0,1.0,50.0,212,6.0,1,1.0,1,1.0,0.0,3.0,3645
9291,4,1,1,45,2.0,1.0,48.0,251,3.0,0,1.0,1,1.0,0.0,5.0,3797
9293,4,1,1,28,24.0,1.0,48.0,251,6.0,1,1.0,1,1.0,0.0,4.0,3797
9294,4,1,1,21,3.0,1.0,40.0,251,7.0,0,1.0,1,0.0,0.0,5.0,4783
9297,4,3,0,28,48.0,1.0,48.0,325,7.0,0,1.0,1,1.0,0.0,5.0,9722
9299,4,3,1,37,84.0,1.0,48.0,325,6.0,1,1.0,1,1.0,0.0,5.0,5833
9301,4,1,1,22,5.0,1.0,48.0,288,3.0,0,1.0,1,1.0,0.0,4.0,3797
9302,4,1,0,19,2.0,1.0,48.0,288,6.0,1,1.0,1,1.0,0.0,5.0,3797
9304,4,3,0,22,2.0,1.0,48.0,222,6.0,1,1.0,1,1.0,0.0,4.0,3888
9305,4,3,1,41,72.0,1.0,70.0,222,6.0,1,1.0,1,1.0,0.0,5.0,2666
9309,4,2,0,56,3.0,1.0,51.0,224,4.0,0,1.0,1,1.0,0.0,5.0,3574
9311,4,2,0,29,4.0,1.0,40.0,224,7.0,0,1.0,1,1.0,0.0,5.0,10500
9315,4,1,0,36,50.0,1.0,48.0,338,6.0,1,1.0,1,1.0,0.0,5.0,3797
9318,4,1,0,42,50.0,1.0,48.0,209,1.0,0,1.0,1,1.0,0.0,4.0,3797
9324,4,1,0,19,8.0,1.0,48.0,223,7.0,0,1.0,1,1.0,0.0,5.0,3797
9329,4,3,0,49,60.0,1.0,35.0,215,5.0,0,1.0,1,0.0,0.0,3.0,4000
9331,4,3,1,53,15.0,3.0,60.0,322,4.0,0,1.0,1,0.0,1.0,1.0,3888
9332,4,3,0,39,96.0,2.0,48.0,322,7.0,0,2.0,1,1.0,0.0,5.0,18958
9333,4,3,1,46,36.0,1.0,44.0,212,7.0,0,1.0,1,1.0,0.0,5.0,9545
9335,4,3,1,24,8.0,1.0,33.0,212,7.0,0,1.0,1,1.0,0.0,5.0,5656
9341,4,3,1,86,240.0,1.0,32.0,205,6.0,1,1.0,1,1.0,0.0,3.0,5833
9345,4,3,1,25,5.0,1.0,40.0,272,6.0,1,1.0,1,1.0,0.0,5.0,5833
9353,4,2,1,33,8.0,1.0,48.0,257,6.0,1,1.0,1,1.0,0.0,5.0,5371
9355,4,3,0,29,2.0,1.0,40.0,243,7.0,0,1.0,1,1.0,0.0,5.0,19833
9359,4,3,1,36,36.0,1.0,40.0,290,7.0,0,1.0,1,1.0,0.0,3.0,14583
9360,4,3,0,36,144.0,1.0,40.0,290,7.0,0,1.0,1,1.0,0.0,5.0,23333
9361,4,3,1,20,5.0,1.0,60.0,243,6.0,1,1.0,1,0.0,0.0,5.0,3500
9369,4,2,1,61,360.0,1.0,48.0,274,6.0,1,1.0,1,1.0,0.0,5.0,3797
9370,4,2,0,56,276.0,3.0,46.0,274,4.0,0,1.0,1,1.0,1.0,2.0,3962
9375,4,3,1,52,24.0,1.0,48.0,255,4.0,0,1.0,1,1.0,0.0,5.0,3888
9377,4,3,0,44,8.0,1.0,60.0,243,7.0,0,1.0,1,1.0,0.0,4.0,7777
9380,4,2,1,22,6.0,1.0,50.0,261,6.0,1,,1,0.0,0.0,4.0,3645
9383,4,3,0,40,14.0,1.0,48.0,194,7.0,0,1.0,1,1.0,0.0,5.0,9236
9385,4,3,1,36,120.0,1.0,50.0,290,7.0,0,1.0,1,1.0,0.0,5.0,41533
9387,4,2,1,24,36.0,1.0,48.0,289,5.0,0,1.0,1,1.0,0.0,4.0,3797
9388,4,2,0,25,15.0,1.0,48.0,289,7.0,0,1.0,1,1.0,0.0,5.0,3797
9392,4,2,1,32,36.0,1.0,48.0,337,6.0,1,1.0,1,1.0,0.0,4.0,3797
9398,4,2,1,36,168.0,1.0,48.0,368,6.0,1,1.0,1,1.0,0.0,5.0,4010
9399,4,2,0,32,96.0,1.0,48.0,368,6.0,1,1.0,1,1.0,0.0,5.0,4520
9400,4,3,0,46,84.0,1.0,40.0,207,6.0,1,1.0,1,1.0,0.0,5.0,9916
9403,4,2,1,65,58.0,1.0,50.0,257,5.0,0,1.0,1,1.0,0.0,5.0,3645
9404,4,2,0,63,360.0,1.0,48.0,257,5.0,0,1.0,1,1.0,0.0,4.0,3797
9407,4,2,0,24,12.0,1.0,20.0,219,7.0,0,3.0,1,0.0,0.0,3.0,4293
9408,4,2,0,43,60.0,1.0,48.0,209,6.0,1,,1,0.0,1.0,2.0,3645
9409,4,2,1,22,2.0,1.0,48.0,209,7.0,0,1.0,1,1.0,0.0,4.0,3797
9414,4,2,1,41,2.0,1.0,48.0,222,5.0,0,1.0,1,1.0,1.0,2.0,3797
9416,4,2,0,38,120.0,1.0,36.0,144,6.0,1,1.0,1,0.0,1.0,2.0,2851
9417,4,2,0,19,14.0,1.0,40.0,144,7.0,0,1.0,1,1.0,0.0,5.0,6416
9418,4,2,0,18,16.0,1.0,45.0,144,6.0,1,1.0,1,0.0,1.0,2.0,3111
9420,4,2,1,45,24.0,1.0,72.0,144,6.0,1,1.0,1,1.0,0.0,5.0,2531
9421,4,2,0,58,48.0,1.0,48.0,234,6.0,1,1.0,1,1.0,0.0,5.0,3797
9427,4,3,1,32,12.0,1.0,48.0,368,7.0,0,1.0,1,1.0,0.0,5.0,6319
9428,4,3,0,29,90.0,1.0,48.0,368,7.0,0,1.0,1,1.0,0.0,5.0,4861
9434,4,2,1,38,24.0,1.0,48.0,255,6.0,1,1.0,1,1.0,0.0,5.0,5833
9437,4,1,0,21,10.0,1.0,54.0,376,6.0,1,1.0,1,1.0,0.0,5.0,3375
9438,4,2,1,24,8.0,1.0,48.0,254,7.0,0,1.0,1,1.0,0.0,5.0,6319
9443,4,3,0,32,0.0,1.0,48.0,322,6.0,1,1.0,1,1.0,0.0,5.0,3797
9445,4,2,1,28,18.0,1.0,48.0,255,6.0,1,1.0,1,1.0,0.0,5.0,7330
9446,4,2,1,39,72.0,1.0,48.0,222,5.0,0,1.0,1,1.0,0.0,5.0,3888
9448,4,3,1,44,24.0,3.0,48.0,243,6.0,1,1.0,1,1.0,1.0,2.0,8555
9449,4,3,0,39,60.0,3.0,48.0,243,6.0,1,1.0,1,1.0,1.0,1.0,3797
9453,4,3,1,44,36.0,1.0,60.0,255,6.0,1,,1,0.0,0.0,3.0,3038
9454,4,2,0,28,60.0,1.0,48.0,243,7.0,0,1.0,1,1.0,0.0,5.0,4131
9456,4,1,0,53,9.0,1.0,48.0,206,5.0,0,1.0,1,1.0,1.0,2.0,4131
9458,4,1,1,26,15.0,1.0,48.0,206,6.0,1,,1,0.0,1.0,2.0,3797
9459,4,1,1,55,0.0,1.0,48.0,206,3.0,0,,1,0.0,1.0,2.0,3797
9460,4,3,0,34,2.0,2.0,40.0,240,7.0,0,1.0,1,1.0,0.0,5.0,20416
9464,4,1,0,29,2.0,1.0,48.0,403,6.0,1,1.0,1,1.0,0.0,5.0,3797
9471,4,2,1,24,1.0,1.0,96.0,312,6.0,1,1.0,1,1.0,0.0,4.0,1898
9472,4,2,0,22,3.0,1.0,28.0,312,7.0,0,1.0,1,1.0,0.0,5.0,6510
9480,4,2,1,26,24.0,1.0,40.0,295,5.0,0,,1,0.0,1.0,2.0,2333
9482,4,3,0,53,60.0,1.0,20.0,240,6.0,1,1.0,1,1.0,0.0,5.0,4433
9483,4,3,0,59,7.0,1.0,48.0,231,6.0,1,1.0,1,1.0,0.0,4.0,3797
9484,4,2,1,24,12.0,1.0,60.0,254,3.0,0,1.0,1,0.0,1.0,2.0,4666
9490,4,2,1,22,12.0,1.0,60.0,254,6.0,1,3.0,1,0.0,1.0,2.0,3422
9495,4,4,1,40,5.0,1.0,60.0,322,7.0,0,1.0,1,1.0,0.0,5.0,7388
9498,4,3,0,43,35.0,1.0,45.0,336,7.0,0,1.0,1,1.0,0.0,5.0,20222
9500,4,3,0,29,20.0,1.0,48.0,336,7.0,0,1.0,1,1.0,0.0,5.0,8750
9510,4,3,1,58,2.0,1.0,48.0,131,3.0,0,1.0,1,0.0,0.0,4.0,4083
9511,4,3,0,54,12.0,1.0,48.0,131,4.0,0,,1,0.0,1.0,2.0,2333
9525,4,3,0,45,12.0,2.0,30.0,240,7.0,0,2.0,1,1.0,0.0,5.0,15555
9526,4,3,0,49,30.0,1.0,48.0,243,7.0,0,1.0,1,1.0,0.0,5.0,3806
9527,4,3,1,24,16.0,1.0,48.0,243,7.0,0,1.0,1,1.0,0.0,5.0,15847
9533,4,2,1,42,8.0,1.0,48.0,289,5.0,0,1.0,1,1.0,0.0,5.0,9454
9536,4,2,0,54,36.0,1.0,66.0,215,1.0,0,3.0,1,0.0,1.0,2.0,2121
9541,4,2,0,50,18.0,1.0,84.0,357,4.0,0,3.0,1,0.0,1.0,2.0,3611
9542,4,2,0,28,14.0,1.0,48.0,357,6.0,1,1.0,1,1.0,0.0,4.0,5347
9543,4,2,1,39,120.0,1.0,48.0,292,5.0,0,1.0,1,1.0,0.0,4.0,4861
9550,4,2,1,31,48.0,1.0,40.0,234,7.0,0,1.0,1,1.0,0.0,5.0,8750
9555,4,2,0,27,7.0,1.0,48.0,278,6.0,1,1.0,1,1.0,0.0,5.0,4618
9556,4,2,1,25,8.0,1.0,48.0,278,6.0,1,1.0,1,1.0,0.0,5.0,5653
9562,4,3,1,43,6.0,1.0,72.0,220,7.0,0,1.0,1,1.0,0.0,5.0,2531
9563,4,3,0,42,60.0,3.0,25.0,220,4.0,0,1.0,1,0.0,1.0,1.0,3266
9569,4,3,0,29,24.0,1.0,48.0,242,7.0,0,,1,0.0,0.0,3.0,3888
9576,4,2,1,37,24.0,1.0,91.0,447,3.0,0,1.0,1,0.0,1.0,2.0,5128
9578,4,2,0,32,5.0,3.0,56.0,289,5.0,0,,1,0.0,1.0,1.0,2500
9580,4,2,0,20,1.0,1.0,48.0,289,5.0,0,,1,0.0,0.0,3.0,5347
9584,4,3,0,40,3.0,1.0,30.0,256,6.0,1,3.0,1,0.0,1.0,2.0,3500
9585,4,3,0,20,0.0,1.0,40.0,256,7.0,0,1.0,1,1.0,1.0,2.0,1750
9589,4,2,0,33,24.0,1.0,40.0,290,7.0,0,1.0,1,1.0,0.0,4.0,7000
9590,4,2,1,38,40.0,1.0,40.0,290,7.0,0,1.0,1,1.0,0.0,4.0,5833
9595,4,3,1,45,120.0,1.0,48.0,400,7.0,0,1.0,1,1.0,0.0,5.0,9722
9598,4,4,1,65,204.0,2.0,58.0,205,7.0,0,1.0,1,1.0,0.0,5.0,16091
9605,4,2,1,40,60.0,1.0,48.0,177,6.0,1,1.0,1,1.0,0.0,5.0,3797
9606,4,2,0,40,30.0,1.0,45.0,177,7.0,0,1.0,1,1.0,0.0,4.0,5185
9608,4,3,1,49,4.0,1.0,48.0,232,5.0,0,1.0,1,1.0,0.0,5.0,4404
9613,4,4,1,42,36.0,2.0,48.0,211,7.0,0,1.0,1,1.0,0.0,5.0,12152
9616,4,2,0,37,13.0,1.0,51.0,176,4.0,0,1.0,1,1.0,0.0,5.0,3574
9617,4,2,0,19,2.0,1.0,9.0,176,7.0,0,1.0,1,0.0,1.0,2.0,3111
9622,4,3,1,32,132.0,1.0,45.0,292,7.0,0,1.0,1,1.0,0.0,5.0,52370
9623,4,3,0,31,9.0,1.0,45.0,292,7.0,0,1.0,1,1.0,0.0,5.0,18148
9624,4,3,0,55,12.0,1.0,48.0,160,7.0,0,1.0,1,1.0,0.0,5.0,38888
9625,4,3,0,28,24.0,2.0,40.0,160,7.0,0,1.0,1,1.0,0.0,5.0,26250
9626,4,3,1,65,24.0,1.0,42.0,160,7.0,0,1.0,1,0.0,1.0,2.0,8333
9628,4,2,1,52,48.0,1.0,72.0,255,4.0,0,,1,0.0,1.0,2.0,5185
9629,4,4,1,58,448.0,1.0,40.0,220,7.0,0,1.0,1,1.0,0.0,5.0,58333
9630,4,4,0,51,120.0,1.0,25.0,220,7.0,0,1.0,1,1.0,0.0,5.0,21466
9631,4,4,1,25,7.0,1.0,84.0,220,7.0,0,1.0,1,1.0,0.0,5.0,7500
9633,4,2,1,53,24.0,1.0,48.0,255,6.0,1,1.0,1,1.0,0.0,4.0,8263
9634,4,3,0,53,36.0,1.0,48.0,170,7.0,0,1.0,1,1.0,1.0,2.0,19444
9637,4,3,0,27,4.0,1.0,48.0,170,7.0,0,1.0,1,1.0,0.0,5.0,12152
9642,4,2,1,27,8.0,1.0,72.0,289,6.0,1,1.0,1,1.0,0.0,5.0,5833
9643,4,2,0,36,22.0,1.0,48.0,289,7.0,0,1.0,1,1.0,0.0,5.0,7777
9649,4,3,0,48,60.0,1.0,48.0,246,6.0,1,1.0,1,1.0,0.0,3.0,4180
9650,4,3,1,46,60.0,1.0,45.0,246,4.0,0,1.0,1,0.0,1.0,2.0,5185
9653,4,3,0,42,180.0,1.0,40.0,268,7.0,0,1.0,1,1.0,0.0,5.0,39666
9654,4,3,1,44,144.0,1.0,40.0,268,7.0,0,1.0,1,1.0,0.0,5.0,58333
9657,4,3,0,34,120.0,1.0,60.0,257,7.0,0,1.0,1,1.0,1.0,2.0,4666
9658,4,3,0,23,4.0,3.0,55.0,257,7.0,0,3.0,1,0.0,1.0,1.0,3314
9662,4,3,1,49,18.0,1.0,48.0,212,6.0,1,1.0,1,1.0,0.0,3.0,9722
9667,4,2,1,23,8.0,1.0,72.0,381,5.0,0,1.0,1,1.0,0.0,4.0,2916
9681,4,1,0,27,12.0,1.0,72.0,163,6.0,1,3.0,1,0.0,1.0,2.0,1944
9685,4,1,1,60,180.0,1.0,48.0,126,6.0,1,3.0,1,0.0,1.0,2.0,4861
9694,4,3,0,34,2.0,3.0,70.0,234,7.0,0,3.0,1,0.0,1.0,1.0,2666
9707,4,3,1,35,2.0,1.0,60.0,126,7.0,0,1.0,1,0.0,1.0,2.0,3038
9709,4,3,0,36,2.0,1.0,50.0,126,7.0,0,1.0,1,0.0,1.0,2.0,3645
9713,4,4,0,37,4.0,1.0,40.0,194,7.0,0,1.0,1,1.0,0.0,4.0,7583
9735,4,2,1,29,8.0,1.0,48.0,347,7.0,0,1.0,1,1.0,0.0,4.0,6319
9736,4,2,0,22,30.0,1.0,50.0,347,6.0,1,1.0,1,1.0,0.0,4.0,2566
9737,4,2,1,30,36.0,1.0,48.0,290,7.0,0,1.0,1,1.0,0.0,3.0,3797
9750,4,4,0,72,600.0,3.0,48.0,205,3.0,0,1.0,1,0.0,1.0,1.0,3797
9754,4,2,1,58,96.0,1.0,48.0,181,1.0,0,1.0,1,1.0,0.0,4.0,3888
9756,4,2,1,29,6.0,1.0,48.0,243,6.0,1,1.0,1,1.0,0.0,5.0,3797
9757,4,2,0,25,9.0,1.0,40.0,243,7.0,0,1.0,1,1.0,0.0,5.0,4557
9767,4,4,1,31,15.0,1.0,48.0,208,7.0,0,1.0,1,1.0,0.0,5.0,11180
9771,4,3,0,57,15.0,1.0,48.0,152,7.0,0,1.0,1,1.0,0.0,5.0,4131
9780,4,3,1,32,36.0,1.0,48.0,252,4.0,0,,1,0.0,0.0,3.0,4131
9781,4,1,1,68,12.0,1.0,27.0,226,4.0,0,1.0,1,0.0,1.0,2.0,6751
9782,4,4,1,26,18.0,1.0,48.0,208,7.0,0,1.0,1,1.0,0.0,3.0,3797
9787,4,4,1,27,4.0,1.0,4.0,175,7.0,0,1.0,1,1.0,0.0,5.0,291666
9788,4,4,1,63,72.0,1.0,21.0,175,7.0,0,1.0,1,1.0,0.0,5.0,13333
9790,4,2,0,30,72.0,1.0,48.0,231,5.0,0,1.0,1,1.0,1.0,2.0,3797
9793,4,2,1,38,24.0,1.0,48.0,231,6.0,1,1.0,1,0.0,0.0,5.0,4861
9795,4,2,1,31,48.0,1.0,48.0,210,6.0,1,1.0,1,1.0,0.0,5.0,4861
9796,4,2,0,24,36.0,1.0,54.0,210,6.0,1,1.0,1,1.0,0.0,5.0,3375
9797,4,2,0,27,17.0,1.0,40.0,240,7.0,0,1.0,1,1.0,0.0,5.0,8166
9801,4,2,1,53,72.0,1.0,48.0,243,3.0,0,1.0,1,1.0,0.0,4.0,3797
9805,4,3,1,36,8.0,1.0,55.0,335,7.0,0,1.0,1,0.0,0.0,4.0,5515
9807,4,3,0,42,6.0,1.0,40.0,335,7.0,0,1.0,1,0.0,0.0,4.0,7583
9808,4,2,1,27,2.0,1.0,48.0,290,7.0,0,1.0,1,1.0,0.0,4.0,3797
9809,4,2,0,26,3.0,1.0,48.0,290,7.0,0,1.0,1,1.0,0.0,3.0,4131
9811,4,3,0,29,6.0,2.0,48.0,208,7.0,0,1.0,1,1.0,0.0,5.0,17013
9813,4,3,0,26,72.0,1.0,56.0,208,7.0,0,1.0,1,1.0,0.0,5.0,22916
9818,4,3,0,50,144.0,1.0,48.0,177,7.0,0,1.0,1,1.0,0.0,5.0,9722
9824,4,3,0,24,24.0,1.0,48.0,199,7.0,0,1.0,1,1.0,0.0,4.0,3797
9828,4,3,1,57,180.0,1.0,48.0,208,6.0,1,1.0,1,1.0,0.0,3.0,9722
9832,4,3,0,30,72.0,2.0,30.0,158,7.0,0,2.0,1,1.0,0.0,5.0,14000
9833,4,3,0,36,156.0,2.0,80.0,158,7.0,0,2.0,1,1.0,0.0,5.0,6125
9840,4,3,1,31,4.0,1.0,56.0,374,7.0,0,1.0,1,1.0,0.0,5.0,3255
9841,4,3,1,29,1.0,1.0,48.0,374,6.0,1,1.0,1,1.0,0.0,5.0,4083
9844,4,3,0,39,3.0,1.0,50.0,265,7.0,0,1.0,1,1.0,0.0,4.0,7000
9864,4,5,1,35,3.0,1.0,60.0,324,4.0,0,1.0,1,1.0,1.0,2.0,3799
9866,4,5,0,38,3.0,1.0,24.0,324,5.0,0,3.0,1,0.0,1.0,2.0,3791
9867,4,2,1,33,5.0,1.0,45.0,243,7.0,0,1.0,1,1.0,0.0,3.0,7777
9868,4,2,0,28,4.0,1.0,60.0,243,7.0,0,1.0,1,1.0,0.0,5.0,11666
9869,4,3,0,58,360.0,2.0,30.0,233,7.0,0,2.0,1,1.0,0.0,5.0,26444
9872,4,2,1,21,12.0,1.0,40.0,208,7.0,0,1.0,1,1.0,0.0,4.0,7000
9877,4,2,1,57,120.0,1.0,48.0,218,7.0,0,1.0,1,1.0,0.0,5.0,12152
9883,4,2,0,23,3.0,1.0,40.0,160,7.0,0,1.0,1,1.0,0.0,5.0,7000
9886,4,2,1,32,8.0,1.0,48.0,290,6.0,1,1.0,1,1.0,0.0,5.0,3797
9893,4,2,0,57,168.0,1.0,48.0,205,5.0,0,1.0,1,1.0,0.0,5.0,4763
9895,4,3,1,51,144.0,1.0,60.0,290,7.0,0,1.0,1,1.0,0.0,5.0,7777
9897,4,2,0,23,5.0,1.0,45.0,203,7.0,0,1.0,1,0.0,0.0,5.0,4050
9898,4,2,1,21,24.0,1.0,30.0,203,6.0,1,1.0,1,0.0,1.0,2.0,3111
9903,4,2,1,29,72.0,1.0,36.0,322,6.0,1,1.0,1,1.0,0.0,5.0,9074
9906,4,2,0,39,9.0,1.0,48.0,209,6.0,1,1.0,1,1.0,0.0,5.0,3797
9912,4,3,0,22,3.0,1.0,48.0,198,7.0,0,1.0,1,0.0,0.0,5.0,3888
9916,4,2,1,25,4.0,1.0,48.0,249,6.0,1,1.0,1,1.0,1.0,2.0,6805
9925,4,3,0,30,7.0,1.0,48.0,219,7.0,0,1.0,1,1.0,0.0,5.0,3888
9929,4,2,1,32,9.0,1.0,57.0,368,4.0,0,1.0,1,1.0,0.0,3.0,4216
9932,4,3,0,49,36.0,1.0,50.0,223,7.0,0,1.0,1,1.0,0.0,4.0,6066
9937,4,2,0,38,96.0,1.0,48.0,400,6.0,1,3.0,1,0.0,0.0,3.0,4131
9939,4,1,1,56,180.0,1.0,72.0,219,3.0,0,1.0,1,1.0,1.0,2.0,2531
9944,4,3,0,40,24.0,3.0,24.0,209,4.0,0,1.0,1,0.0,1.0,1.0,5250
9945,4,3,0,20,3.0,1.0,12.0,209,7.0,0,3.0,1,0.0,0.0,3.0,4666
9947,4,2,0,52,46.0,1.0,48.0,220,6.0,1,1.0,1,0.0,1.0,2.0,3797
9948,4,2,1,27,4.0,1.0,32.0,220,6.0,1,1.0,1,0.0,1.0,2.0,4375
9952,4,2,1,37,14.0,1.0,48.0,243,7.0,0,1.0,1,1.0,0.0,5.0,3797
9953,4,2,0,34,36.0,1.0,40.0,243,7.0,0,1.0,1,1.0,0.0,5.0,11666
9957,4,3,0,33,156.0,1.0,42.0,243,7.0,0,1.0,1,1.0,0.0,5.0,7777
9962,4,2,0,39,14.0,1.0,40.0,307,7.0,0,1.0,1,1.0,0.0,5.0,8166
9963,4,2,0,37,40.0,1.0,45.0,307,7.0,0,1.0,1,1.0,0.0,5.0,10795
9967,4,3,1,34,4.0,1.0,15.0,211,6.0,1,,1,0.0,1.0,2.0,7466
9968,4,3,1,65,120.0,1.0,60.0,185,5.0,0,1.0,1,1.0,0.0,5.0,5055
9971,4,3,1,30,24.0,1.0,60.0,185,6.0,1,1.0,1,1.0,0.0,5.0,3500
9972,4,3,0,27,96.0,1.0,48.0,185,6.0,1,1.0,1,1.0,0.0,5.0,4229
9973,4,1,1,59,264.0,1.0,60.0,208,6.0,1,1.0,1,1.0,0.0,5.0,5444
9974,4,1,0,55,108.0,1.0,40.0,208,4.0,0,1.0,1,1.0,0.0,3.0,4557
9975,4,1,1,34,24.0,1.0,48.0,208,7.0,0,1.0,1,1.0,0.0,5.0,3797
