,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,fweight,maxEducLevel,college,regSalud,pea,formal,microEmpresa,sizeFirm,y_salary_m_hu
701,1,3,0,48,120.0,1.0,56.0,243,7.0,0,1.0,1,1.0,0.0,5.0,33333
705,1,2,1,54,36.0,1.0,48.0,372,6.0,1,1.0,1,1.0,0.0,5.0,5833
709,1,3,1,39,12.0,1.0,48.0,391,7.0,0,1.0,1,1.0,0.0,5.0,24305
710,1,3,0,36,12.0,1.0,48.0,391,7.0,0,1.0,1,1.0,0.0,5.0,14583
713,1,3,1,38,13.0,1.0,45.0,255,7.0,0,1.0,1,1.0,0.0,5.0,14518
714,1,3,0,32,36.0,1.0,40.0,255,7.0,0,1.0,1,1.0,0.0,5.0,16333
715,1,2,0,59,24.0,1.0,48.0,246,4.0,0,1.0,1,0.0,0.0,3.0,4375
718,1,3,1,56,3.0,1.0,48.0,214,6.0,1,1.0,1,1.0,0.0,5.0,3888
720,1,3,0,57,360.0,1.0,48.0,197,6.0,1,1.0,1,1.0,0.0,5.0,7777
722,1,3,0,23,6.0,1.0,48.0,197,7.0,0,1.0,1,1.0,0.0,4.0,5833
729,1,3,0,31,16.0,1.0,70.0,190,6.0,1,1.0,1,0.0,0.0,4.0,2459
732,1,3,0,21,12.0,1.0,70.0,190,6.0,1,1.0,1,0.0,0.0,3.0,2459
737,1,3,0,35,60.0,1.0,60.0,274,7.0,0,1.0,1,1.0,0.0,5.0,2868
744,1,2,1,37,42.0,2.0,45.0,293,7.0,0,1.0,1,1.0,0.0,5.0,12444
745,1,2,0,40,2.0,1.0,30.0,293,7.0,0,1.0,1,0.0,0.0,4.0,11666
747,1,2,1,35,42.0,1.0,65.0,134,6.0,1,1.0,1,0.0,1.0,2.0,2692
756,1,2,1,45,36.0,1.0,48.0,297,5.0,0,1.0,1,1.0,0.0,4.0,5833
757,1,2,0,45,60.0,1.0,48.0,297,5.0,0,1.0,1,1.0,0.0,5.0,3888
759,1,2,1,19,2.0,1.0,20.0,297,7.0,0,1.0,1,0.0,0.0,4.0,3500
767,1,4,0,40,8.0,1.0,40.0,210,7.0,0,1.0,1,1.0,0.0,3.0,4303
774,1,2,1,47,84.0,1.0,48.0,418,6.0,1,1.0,1,1.0,0.0,5.0,4131
785,1,3,0,48,36.0,1.0,40.0,232,5.0,0,3.0,1,0.0,1.0,2.0,4375
791,1,3,0,35,168.0,1.0,48.0,329,7.0,0,1.0,1,1.0,0.0,5.0,12152
794,1,2,1,38,180.0,2.0,56.0,259,6.0,1,2.0,1,1.0,0.0,5.0,5000
802,1,4,1,53,384.0,2.0,40.0,254,7.0,0,1.0,1,1.0,0.0,5.0,19833
809,1,4,0,58,444.0,3.0,48.0,189,3.0,0,1.0,1,1.0,1.0,1.0,3586
811,1,2,1,66,8.0,1.0,48.0,174,3.0,0,1.0,1,1.0,1.0,2.0,3500
814,1,4,1,50,348.0,1.0,55.0,194,7.0,0,1.0,1,1.0,0.0,5.0,33939
815,1,4,0,51,96.0,2.0,48.0,194,7.0,0,1.0,1,1.0,0.0,5.0,13125
828,1,3,1,62,0.0,1.0,18.0,225,6.0,1,3.0,1,0.0,1.0,2.0,518
829,1,3,0,57,24.0,3.0,18.0,225,5.0,0,3.0,1,0.0,1.0,1.0,1866
830,1,3,0,28,0.0,1.0,16.0,225,6.0,1,3.0,1,0.0,1.0,2.0,6416
834,1,3,0,32,12.0,2.0,48.0,382,7.0,0,2.0,1,1.0,0.0,5.0,14097
841,1,2,1,26,1.0,1.0,54.0,243,6.0,1,,1,0.0,1.0,2.0,4320
842,1,2,0,36,1.0,3.0,45.0,243,4.0,0,1.0,1,1.0,1.0,1.0,3825
845,1,1,1,37,2.0,1.0,48.0,189,6.0,1,1.0,1,1.0,0.0,4.0,3586
849,1,1,1,25,80.0,1.0,50.0,263,4.0,0,3.0,1,0.0,0.0,5.0,4666
852,1,2,0,28,6.0,1.0,15.0,293,7.0,0,3.0,1,0.0,0.0,4.0,4666
861,1,2,1,27,4.0,1.0,48.0,209,7.0,0,1.0,1,1.0,0.0,4.0,3888
862,1,2,0,19,6.0,1.0,48.0,209,7.0,0,1.0,1,0.0,0.0,5.0,3586
865,1,3,0,37,18.0,1.0,48.0,329,6.0,1,1.0,1,1.0,1.0,2.0,3586
867,1,1,1,23,14.0,1.0,48.0,247,6.0,1,1.0,1,1.0,0.0,5.0,5833
871,1,3,0,48,2.0,1.0,48.0,170,5.0,0,1.0,1,1.0,0.0,5.0,3586
875,1,3,0,47,36.0,1.0,48.0,197,6.0,1,1.0,1,1.0,0.0,5.0,3586
879,1,3,1,33,36.0,1.0,48.0,395,6.0,1,3.0,1,0.0,0.0,3.0,2916
880,1,3,0,33,24.0,1.0,48.0,395,6.0,1,3.0,1,0.0,0.0,3.0,2430
881,1,3,1,47,58.0,1.0,48.0,395,5.0,0,3.0,1,0.0,1.0,2.0,3159
882,1,2,0,54,144.0,3.0,40.0,239,4.0,0,1.0,1,1.0,1.0,1.0,4083
888,1,2,1,35,36.0,1.0,48.0,286,6.0,1,1.0,1,1.0,0.0,4.0,5347
890,1,2,1,31,3.0,1.0,48.0,286,5.0,0,1.0,1,1.0,0.0,4.0,3586
896,1,1,1,32,18.0,1.0,48.0,303,7.0,0,1.0,1,1.0,1.0,2.0,4861
899,1,3,1,30,15.0,1.0,40.0,238,7.0,0,1.0,1,1.0,1.0,2.0,8166
906,1,2,0,41,96.0,1.0,48.0,156,6.0,1,1.0,1,0.0,1.0,2.0,3645
910,1,3,0,34,24.0,1.0,48.0,250,5.0,0,1.0,1,1.0,1.0,2.0,3500
916,1,2,1,32,1.0,1.0,48.0,301,6.0,1,1.0,1,1.0,1.0,2.0,3586
918,1,3,1,32,6.0,1.0,72.0,255,7.0,0,1.0,1,1.0,0.0,5.0,6287
919,1,3,0,28,2.0,1.0,40.0,255,7.0,0,1.0,1,1.0,0.0,5.0,4303
922,1,1,1,35,8.0,1.0,48.0,352,6.0,1,1.0,1,1.0,0.0,5.0,5833
923,1,1,0,34,60.0,3.0,27.0,352,3.0,0,3.0,1,0.0,1.0,1.0,4148
924,1,3,1,27,30.0,1.0,36.0,255,7.0,0,1.0,1,1.0,0.0,5.0,4781
925,1,3,0,30,81.0,2.0,30.0,255,7.0,0,2.0,1,1.0,0.0,5.0,19444
928,1,3,1,47,144.0,1.0,50.0,352,7.0,0,1.0,1,1.0,0.0,5.0,11200
934,1,1,0,61,0.0,1.0,40.0,187,4.0,0,3.0,1,0.0,1.0,2.0,1750
935,1,1,1,37,0.0,1.0,60.0,187,5.0,0,3.0,1,0.0,1.0,2.0,2868
939,1,1,1,36,18.0,1.0,56.0,214,7.0,0,3.0,1,0.0,1.0,1.0,3073
940,1,1,0,22,36.0,3.0,36.0,214,6.0,1,,1,0.0,1.0,1.0,5185
942,1,2,1,45,4.0,1.0,60.0,259,6.0,1,1.0,1,1.0,0.0,5.0,2868
947,1,2,0,33,3.0,1.0,45.0,230,6.0,1,1.0,1,1.0,0.0,5.0,8296
952,1,2,0,44,180.0,1.0,48.0,194,6.0,1,1.0,1,1.0,0.0,4.0,3586
