,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,ingtot,fweight,maxEducLevel,college,regSalud,pea,formal,cuentaPropia,microEmpresa,sizeFirm
0,1,2,0,29,,,,934594,255,6.0,1,2.0,0,,0,,
1,1,2,1,36,166.0,2.0,45.0,1840833,255,6.0,1,2.0,1,1.0,0,0.0,5.0
4,1,2,0,32,,,,934594,429,5.0,0,1.0,0,,0,,
6,1,2,1,18,,,,934594,194,7.0,0,1.0,0,,0,,
8,1,2,1,51,12.0,1.0,48.0,1878973,194,7.0,0,1.0,1,1.0,0,0.0,3.0
13,1,2,1,45,15.0,1.0,56.0,883357,243,4.0,0,1.0,1,1.0,0,1.0,2.0
15,1,2,1,61,120.0,1.0,40.0,1200000,230,3.0,0,3.0,1,0.0,0,0.0,4.0
16,1,2,0,49,,,,934594,230,1.0,0,3.0,0,,0,,
17,1,2,1,68,,,,1000000,234,7.0,0,1.0,0,,0,,
18,1,2,0,67,,,,981000,234,7.0,0,1.0,0,,0,,
20,1,2,1,35,,,,1000000,342,7.0,0,1.0,0,,0,,
21,1,2,0,35,24.0,2.0,48.0,1941500,342,7.0,0,2.0,1,1.0,0,0.0,5.0
22,1,2,0,35,36.0,1.0,40.0,1083000,352,6.0,1,1.0,1,1.0,0,0.0,5.0
25,1,2,1,39,94.0,1.0,44.0,1716333,352,7.0,0,1.0,1,1.0,0,0.0,5.0
26,1,2,0,77,,,,500000,254,5.0,0,1.0,0,,0,,
29,1,2,0,54,,,,934594,255,7.0,0,3.0,0,,0,,
30,1,2,1,29,6.0,4.0,40.0,1000000,255,7.0,0,,1,0.0,1,1.0,1.0
32,1,2,0,25,,,,934594,429,7.0,0,1.0,0,,0,,
33,1,2,1,29,24.0,1.0,54.0,779000,429,6.0,1,1.0,1,1.0,0,1.0,2.0
37,1,2,0,44,6.0,4.0,42.0,300000,205,5.0,0,,1,0.0,1,1.0,1.0
38,1,2,1,31,24.0,1.0,55.0,2121000,174,6.0,1,1.0,1,1.0,0,0.0,5.0
39,1,2,1,57,,,,1400000,174,6.0,1,1.0,0,,0,,
40,1,2,0,53,,,,934594,174,4.0,0,1.0,0,,0,,
42,1,2,0,18,18.0,1.0,84.0,250000,174,6.0,1,1.0,1,0.0,0,1.0,2.0
43,1,2,1,55,2.0,5.0,48.0,900000,239,6.0,1,3.0,1,0.0,0,1.0,2.0
44,1,2,0,71,,,,649191,254,4.0,0,1.0,0,,0,,
48,1,2,0,56,30.0,1.0,48.0,820857,348,4.0,0,1.0,1,1.0,0,0.0,5.0
50,1,2,0,50,,,,50000,243,3.0,0,3.0,0,,0,,
51,1,2,1,23,51.0,1.0,40.0,1226333,243,7.0,0,1.0,1,1.0,0,0.0,5.0
52,1,2,1,30,8.0,1.0,54.0,1237806,243,6.0,1,1.0,1,1.0,0,0.0,3.0
53,1,2,0,50,72.0,4.0,48.0,600000,255,7.0,0,1.0,1,0.0,1,1.0,1.0
54,1,2,1,28,24.0,1.0,48.0,949806,255,7.0,0,1.0,1,1.0,0,0.0,5.0
55,1,2,0,38,,,,934594,242,4.0,0,3.0,0,,0,,
56,1,2,0,54,120.0,4.0,66.0,1500000,242,5.0,0,3.0,1,0.0,1,1.0,2.0
57,1,2,0,56,,,,100000,259,5.0,0,3.0,0,,0,,
58,1,2,1,36,36.0,1.0,16.0,310000,259,6.0,1,3.0,1,0.0,0,1.0,2.0
59,1,2,0,53,120.0,4.0,40.0,60000,201,5.0,0,1.0,1,0.0,1,1.0,1.0
61,1,2,0,33,24.0,1.0,48.0,1591500,201,7.0,0,1.0,1,1.0,0,0.0,3.0
62,1,2,0,64,,,,737717,201,4.0,0,1.0,0,,0,,
64,1,2,1,38,96.0,1.0,48.0,795883,201,6.0,1,1.0,1,1.0,0,0.0,5.0
68,1,2,1,28,,,,83333,439,7.0,0,3.0,0,,0,,
70,1,2,1,51,100.0,4.0,48.0,70000,243,6.0,1,1.0,1,0.0,1,1.0,1.0
72,1,2,0,51,72.0,1.0,45.0,1083333,243,6.0,1,1.0,1,1.0,0,0.0,4.0
74,1,2,1,18,,,,400000,228,6.0,1,1.0,0,,0,,
75,1,2,0,38,,,,890616,228,6.0,1,1.0,0,,0,,
76,1,2,1,43,24.0,1.0,48.0,3633333,145,7.0,0,1.0,1,1.0,0,0.0,5.0
78,1,2,0,18,,,,934594,145,7.0,0,1.0,0,,0,,
80,1,2,0,21,,,,934594,145,6.0,1,1.0,0,,0,,
81,1,2,1,47,204.0,4.0,70.0,1300000,254,6.0,1,1.0,1,1.0,1,1.0,1.0
83,1,2,0,41,48.0,2.0,40.0,1659806,254,6.0,1,2.0,1,1.0,0,0.0,5.0
85,1,2,0,66,,,,934594,288,3.0,0,1.0,0,,0,,
86,1,2,0,31,24.0,1.0,48.0,826883,288,6.0,1,1.0,1,1.0,0,0.0,4.0
87,1,2,1,36,156.0,1.0,48.0,825800,288,5.0,0,1.0,1,1.0,0,0.0,4.0
90,1,2,0,37,,,,737717,246,7.0,0,,0,,0,,
91,1,2,0,69,,,,3000000,246,5.0,0,1.0,0,,0,,
92,1,2,0,77,,,,1780000,235,4.0,0,1.0,0,,0,,
93,1,2,1,24,,,,934594,235,7.0,0,1.0,0,,0,,
94,1,2,0,50,108.0,1.0,48.0,910333,235,6.0,1,1.0,1,1.0,0,0.0,5.0
95,1,2,0,42,12.0,3.0,48.0,1087000,331,6.0,1,1.0,1,1.0,0,1.0,1.0
97,1,2,1,45,70.0,1.0,45.0,1500000,331,4.0,0,1.0,1,1.0,0,0.0,3.0
98,1,2,1,20,4.0,1.0,60.0,786000,331,7.0,0,1.0,1,1.0,0,0.0,5.0
99,1,2,1,49,36.0,1.0,48.0,1283140,263,6.0,1,1.0,1,1.0,0,0.0,4.0
101,1,2,0,47,24.0,4.0,9.0,300000,338,6.0,1,,1,0.0,1,1.0,1.0
104,1,2,1,24,36.0,4.0,60.0,850000,247,6.0,1,3.0,1,0.0,1,1.0,1.0
105,1,2,1,27,12.0,1.0,42.0,1333140,255,7.0,0,1.0,1,1.0,0,0.0,5.0
106,1,2,0,48,,,,934594,255,6.0,1,1.0,0,,0,,
107,1,2,0,24,12.0,1.0,40.0,3050000,132,7.0,0,1.0,1,1.0,0,0.0,4.0
108,1,2,0,47,3.0,1.0,84.0,2283333,132,7.0,0,1.0,1,1.0,0,0.0,5.0
109,1,2,1,55,360.0,4.0,48.0,1800000,132,5.0,0,1.0,1,1.0,1,1.0,1.0
111,1,3,0,30,,,,934594,235,7.0,0,3.0,0,,0,,
112,1,3,1,21,1.0,1.0,15.0,350000,235,7.0,0,3.0,1,0.0,0,0.0,3.0
113,1,3,0,72,,,,950000,235,7.0,0,1.0,0,,0,,
114,1,2,1,29,18.0,1.0,48.0,820857,263,6.0,1,1.0,1,0.0,0,1.0,2.0
116,1,3,0,63,120.0,4.0,48.0,1300000,258,6.0,1,3.0,1,0.0,1,1.0,1.0
118,1,3,0,66,,,,934594,258,3.0,0,,0,,0,,
119,1,2,1,35,38.0,1.0,56.0,1513140,250,4.0,0,1.0,1,1.0,0,0.0,5.0
120,1,2,0,56,142.0,1.0,48.0,882333,250,6.0,1,1.0,1,1.0,0,0.0,5.0
122,1,2,0,53,112.0,1.0,48.0,1275000,201,6.0,1,1.0,1,1.0,0,0.0,5.0
123,1,2,0,23,8.0,1.0,48.0,1625000,201,7.0,0,1.0,1,1.0,0,0.0,5.0
124,1,2,1,41,2.0,1.0,49.0,820857,243,6.0,1,1.0,1,1.0,0,0.0,3.0
127,1,2,0,39,,,,934594,243,6.0,1,1.0,0,,0,,
129,1,2,0,32,5.0,1.0,48.0,820857,338,6.0,1,1.0,1,0.0,0,0.0,5.0
131,1,2,0,64,,,,934594,234,4.0,0,3.0,0,,0,,
132,1,2,1,62,1.0,1.0,84.0,1550000,234,4.0,0,3.0,1,0.0,0,1.0,2.0
135,1,2,1,24,1.0,1.0,48.0,1693140,327,7.0,0,1.0,1,1.0,0,0.0,5.0
136,1,3,0,43,144.0,2.0,30.0,3150000,219,7.0,0,2.0,1,1.0,0,0.0,5.0
138,1,3,1,55,144.0,2.0,30.0,2925000,219,7.0,0,2.0,1,1.0,0,0.0,5.0
139,1,2,0,73,96.0,3.0,40.0,1587717,254,4.0,0,1.0,1,1.0,0,1.0,1.0
140,1,2,1,51,60.0,1.0,48.0,1000000,259,5.0,0,3.0,1,0.0,0,1.0,2.0
141,1,2,0,76,360.0,4.0,30.0,80000,259,3.0,0,3.0,1,0.0,1,1.0,1.0
142,1,3,1,86,,,,1180000,238,4.0,0,1.0,0,,0,,
143,1,3,0,56,,,,934594,238,4.0,0,3.0,0,,0,,
144,1,3,1,47,120.0,4.0,60.0,500000,238,6.0,1,3.0,1,0.0,1,1.0,1.0
145,1,3,1,86,,,,1200000,208,3.0,0,1.0,0,,0,,
147,1,3,1,36,,,,934594,208,5.0,0,1.0,0,,0,,
148,1,3,0,56,6.0,4.0,8.0,780000,208,6.0,1,1.0,1,0.0,1,1.0,1.0
149,1,3,0,78,,,,934594,208,3.0,0,1.0,0,,0,,
150,1,3,0,54,,,,934594,208,6.0,1,,0,,0,,
151,1,3,0,47,108.0,1.0,48.0,882523,208,6.0,1,1.0,1,1.0,0,0.0,5.0
152,1,3,0,29,14.0,1.0,40.0,1237140,208,6.0,1,1.0,1,1.0,0,0.0,4.0
154,1,3,0,52,300.0,5.0,54.0,2500000,197,6.0,1,1.0,1,0.0,0,1.0,2.0
156,1,3,0,18,,,,100000,197,6.0,1,,0,,0,,
158,1,3,0,78,,,,1169191,254,4.0,0,1.0,0,,0,,
159,1,3,1,63,420.0,5.0,48.0,7216666,268,6.0,1,1.0,1,0.0,0,1.0,2.0
160,1,3,0,25,48.0,3.0,60.0,1551473,268,6.0,1,1.0,1,1.0,0,1.0,1.0
161,1,3,0,59,,,,366666,268,5.0,0,1.0,0,,0,,
162,1,3,1,32,36.0,4.0,50.0,1000000,268,7.0,0,1.0,1,1.0,1,1.0,1.0
164,1,3,0,19,,,,600000,268,5.0,0,1.0,0,,0,,
165,1,3,0,24,24.0,1.0,48.0,935166,214,6.0,1,1.0,1,1.0,0,0.0,5.0
166,1,3,1,27,24.0,1.0,48.0,941166,214,6.0,1,1.0,1,1.0,0,0.0,5.0
167,1,3,0,63,300.0,4.0,60.0,200000,234,3.0,0,3.0,1,0.0,1,1.0,2.0
168,1,3,1,71,300.0,4.0,60.0,1200000,234,3.0,0,3.0,1,0.0,1,1.0,2.0
169,1,4,1,52,174.0,2.0,45.0,11177083,214,7.0,0,1.0,1,1.0,0,0.0,5.0
170,1,4,0,52,60.0,2.0,45.0,6018333,214,7.0,0,1.0,1,1.0,0,0.0,5.0
171,1,4,1,25,6.0,1.0,48.0,1461473,214,7.0,0,1.0,1,1.0,0,0.0,5.0
172,1,4,0,23,,,,934594,214,7.0,0,1.0,0,,0,,
174,1,4,0,53,144.0,4.0,48.0,980000,242,4.0,0,1.0,1,0.0,1,1.0,1.0
175,1,4,0,30,24.0,1.0,48.0,2166666,242,7.0,0,1.0,1,1.0,0,0.0,4.0
177,1,4,1,42,84.0,5.0,72.0,2000000,205,6.0,1,1.0,1,1.0,0,0.0,3.0
178,1,4,0,52,84.0,5.0,72.0,800000,205,6.0,1,1.0,1,1.0,0,0.0,3.0
180,1,2,0,56,,,,80000,216,5.0,0,3.0,0,,0,,
181,1,2,1,29,,,,934594,216,6.0,1,3.0,0,,0,,
182,1,2,1,20,,,,122916,216,7.0,0,3.0,0,,0,,
183,1,2,1,80,,,,470000,216,3.0,0,3.0,0,,0,,
185,1,3,1,41,56.0,4.0,40.0,1200000,194,7.0,0,1.0,1,0.0,1,1.0,1.0
186,1,3,0,19,18.0,1.0,48.0,916666,194,7.0,0,1.0,1,1.0,0,0.0,5.0
187,1,3,0,37,12.0,1.0,48.0,889357,194,7.0,0,1.0,1,1.0,0,0.0,5.0
188,1,3,0,18,37.0,1.0,48.0,1308333,194,7.0,0,1.0,1,1.0,0,0.0,3.0
190,1,3,0,53,30.0,4.0,20.0,400000,250,5.0,0,1.0,1,0.0,1,1.0,1.0
192,1,4,0,39,24.0,4.0,20.0,737717,342,7.0,0,1.0,1,0.0,1,1.0,2.0
193,1,4,1,41,84.0,1.0,48.0,6716666,342,7.0,0,1.0,1,1.0,0,0.0,5.0
194,1,4,0,58,240.0,5.0,36.0,1300000,250,6.0,1,1.0,1,1.0,0,0.0,3.0
195,1,4,0,33,8.0,1.0,30.0,650000,250,7.0,0,1.0,1,1.0,0,0.0,3.0
196,1,4,1,51,240.0,5.0,56.0,800000,250,6.0,1,1.0,1,0.0,0,0.0,3.0
197,1,2,0,40,,,,934594,303,6.0,1,1.0,0,,0,,
200,1,4,1,66,,,,600000,239,6.0,1,1.0,0,,0,,
201,1,3,1,59,240.0,4.0,30.0,750000,239,7.0,0,1.0,1,0.0,1,1.0,1.0
202,1,2,1,49,120.0,4.0,70.0,450000,205,6.0,1,3.0,1,0.0,1,1.0,1.0
204,1,2,0,53,24.0,1.0,48.0,849857,205,6.0,1,1.0,1,1.0,0,0.0,5.0
206,1,3,0,58,,,,934594,180,3.0,0,,0,,0,,
207,1,3,1,65,,,,934594,180,7.0,0,1.0,0,,0,,
208,1,3,0,60,240.0,3.0,45.0,897717,180,4.0,0,1.0,1,0.0,0,1.0,1.0
209,1,2,1,27,36.0,4.0,5.0,120000,250,7.0,0,3.0,1,0.0,1,1.0,1.0
210,1,2,0,43,32.0,2.0,30.0,2018667,250,7.0,0,2.0,1,1.0,0,0.0,5.0
211,1,2,0,62,240.0,1.0,48.0,780000,250,6.0,1,3.0,1,0.0,0,0.0,3.0
213,1,2,1,47,48.0,1.0,60.0,3200000,255,6.0,1,1.0,1,0.0,0,0.0,3.0
214,1,3,1,18,0.0,1.0,15.0,300000,228,7.0,0,1.0,1,0.0,0,1.0,2.0
215,1,3,0,44,5.0,1.0,10.0,1550000,228,7.0,0,1.0,1,1.0,0,0.0,3.0
217,1,3,1,56,,,,934594,205,1.0,0,1.0,0,,0,,
218,1,3,0,68,,,,934594,205,5.0,0,1.0,0,,0,,
219,1,3,0,40,48.0,1.0,40.0,2350000,205,7.0,0,1.0,1,1.0,0,0.0,5.0
220,1,3,1,92,,,,649191,205,3.0,0,1.0,0,,0,,
221,1,2,0,18,,,,934594,208,6.0,1,1.0,0,,0,,
223,1,2,0,42,36.0,4.0,40.0,816666,208,6.0,1,1.0,1,0.0,1,1.0,1.0
224,1,2,1,23,3.0,1.0,80.0,800000,208,6.0,1,,1,0.0,0,1.0,2.0
225,1,2,1,90,,,,750000,208,3.0,0,1.0,0,,0,,
228,1,3,1,38,42.0,1.0,84.0,3201666,352,5.0,0,1.0,1,1.0,0,0.0,5.0
231,1,3,1,22,24.0,1.0,48.0,766883,194,6.0,1,1.0,1,1.0,0,0.0,5.0
232,1,3,0,21,7.0,1.0,48.0,737717,194,6.0,1,1.0,1,1.0,0,1.0,2.0
233,1,3,1,47,48.0,1.0,48.0,766883,194,6.0,1,1.0,1,1.0,0,0.0,4.0
234,1,3,0,50,120.0,1.0,48.0,798967,194,6.0,1,1.0,1,1.0,0,0.0,5.0
235,1,3,1,35,144.0,1.0,50.0,1541473,205,7.0,0,1.0,1,1.0,0,0.0,5.0
239,1,3,0,37,36.0,1.0,40.0,889217,205,7.0,0,1.0,1,1.0,0,0.0,5.0
240,1,2,0,65,,,,120000,134,3.0,0,3.0,0,,0,,
241,1,2,0,82,,,,950000,134,3.0,0,1.0,0,,0,,
242,1,2,0,24,12.0,1.0,45.0,1058300,134,7.0,0,1.0,1,1.0,0,0.0,5.0
243,1,2,0,18,,,,291666,134,7.0,0,1.0,0,,0,,
244,1,2,0,43,,,,250000,134,6.0,1,3.0,0,,0,,
245,1,2,0,47,96.0,3.0,36.0,720000,134,5.0,0,3.0,1,0.0,0,1.0,1.0
247,1,2,0,35,,,,934594,194,6.0,1,3.0,0,,0,,
249,1,2,1,43,60.0,4.0,70.0,2300000,194,6.0,1,3.0,1,0.0,1,1.0,1.0
250,1,3,1,19,14.0,4.0,48.0,1700000,228,6.0,1,1.0,1,0.0,1,0.0,3.0
251,1,3,1,18,72.0,1.0,48.0,1320640,228,7.0,0,1.0,1,1.0,0,0.0,4.0
252,1,3,0,46,2.0,3.0,40.0,530000,228,6.0,1,1.0,1,0.0,0,1.0,1.0
255,1,2,1,63,,,,2200000,211,5.0,0,1.0,0,,0,,
256,1,2,0,57,36.0,1.0,48.0,838333,211,6.0,1,1.0,1,1.0,0,0.0,5.0
257,1,2,1,24,24.0,1.0,16.0,600000,211,6.0,1,3.0,1,0.0,0,1.0,2.0
258,1,2,0,18,,,,934594,211,6.0,1,1.0,0,,0,,
259,1,2,1,24,11.0,1.0,48.0,800000,211,5.0,0,1.0,1,1.0,0,0.0,3.0
260,1,2,0,20,7.0,1.0,48.0,737717,211,7.0,0,1.0,1,1.0,0,0.0,4.0
261,1,3,0,42,10.0,4.0,8.0,5050000,235,7.0,0,2.0,1,1.0,1,0.0,5.0
263,1,3,0,79,,,,934594,235,6.0,1,1.0,0,,0,,
264,1,2,0,57,120.0,4.0,32.0,1620000,254,5.0,0,1.0,1,1.0,1,1.0,1.0
266,1,2,0,64,,,,934594,238,4.0,0,3.0,0,,0,,
267,1,2,1,42,18.0,1.0,50.0,737717,238,5.0,0,3.0,1,0.0,0,1.0,2.0
268,1,2,0,60,,,,300000,259,3.0,0,1.0,0,,0,,
269,1,2,1,25,30.0,1.0,48.0,1274806,259,6.0,1,1.0,1,1.0,0,0.0,5.0
271,1,3,0,58,132.0,2.0,30.0,2333333,234,7.0,0,2.0,1,1.0,0,0.0,5.0
272,1,2,1,46,72.0,1.0,50.0,2600000,243,6.0,1,1.0,1,1.0,0,0.0,4.0
273,1,2,0,53,,,,934594,243,5.0,0,1.0,0,,0,,
274,1,2,1,18,,,,934594,243,7.0,0,1.0,0,,0,,
275,1,2,1,54,240.0,4.0,5.0,500000,210,5.0,0,3.0,1,0.0,1,1.0,1.0
276,1,2,0,54,,,,150000,210,6.0,1,3.0,0,,0,,
278,1,2,1,25,1.0,1.0,48.0,950000,210,6.0,1,1.0,1,1.0,0,0.0,5.0
279,1,3,0,31,24.0,1.0,48.0,2166666,250,7.0,0,1.0,1,1.0,0,0.0,5.0
280,1,2,0,85,,,,790000,254,3.0,0,1.0,0,,0,,
282,1,3,0,23,12.0,1.0,45.0,1599806,263,7.0,0,1.0,1,1.0,0,0.0,5.0
283,1,3,1,25,3.0,1.0,40.0,903140,263,7.0,0,1.0,1,1.0,0,0.0,3.0
284,1,2,1,26,24.0,1.0,48.0,1200000,352,6.0,1,3.0,1,0.0,0,1.0,2.0
287,1,2,0,26,,,,934594,352,6.0,1,3.0,0,,0,,
288,1,3,1,31,36.0,5.0,48.0,4500000,255,7.0,0,1.0,1,1.0,0,1.0,2.0
289,1,3,0,35,84.0,1.0,48.0,4441000,255,7.0,0,1.0,1,1.0,0,0.0,5.0
290,1,2,1,52,96.0,1.0,48.0,1166473,243,5.0,0,1.0,1,1.0,0,0.0,5.0
291,1,2,1,23,,,,934594,243,7.0,0,1.0,0,,0,,
292,1,2,0,51,24.0,1.0,48.0,882333,243,5.0,0,1.0,1,1.0,0,0.0,5.0
295,1,3,0,24,,,,208333,388,6.0,1,1.0,0,,0,,
297,1,2,0,49,24.0,4.0,48.0,300000,230,6.0,1,3.0,1,0.0,1,1.0,2.0
298,1,2,1,60,12.0,1.0,54.0,1483140,230,6.0,1,1.0,1,1.0,0,0.0,5.0
299,1,3,1,30,84.0,1.0,48.0,1388140,258,6.0,1,1.0,1,1.0,0,0.0,3.0
300,1,3,0,60,48.0,4.0,84.0,100000,258,5.0,0,3.0,1,0.0,1,1.0,1.0
301,1,3,1,32,1.0,1.0,84.0,900000,258,5.0,0,,1,0.0,0,1.0,2.0
305,1,3,1,27,1.0,1.0,48.0,1223140,258,3.0,0,1.0,1,1.0,0,0.0,3.0
306,1,3,1,52,360.0,4.0,70.0,600000,194,6.0,1,,1,0.0,1,1.0,2.0
308,1,3,0,48,390.0,4.0,70.0,600000,194,6.0,1,,1,0.0,1,1.0,2.0
309,1,3,1,21,11.0,1.0,48.0,837717,194,7.0,0,1.0,1,1.0,0,0.0,5.0
310,1,2,1,30,0.0,1.0,48.0,1000000,263,7.0,0,1.0,1,1.0,0,0.0,5.0
312,1,2,1,55,6.0,4.0,48.0,1500000,277,6.0,1,1.0,1,0.0,1,1.0,1.0
314,1,3,1,27,48.0,1.0,45.0,3150000,238,7.0,0,1.0,1,1.0,0,0.0,5.0
315,1,3,1,59,336.0,1.0,48.0,1426473,238,3.0,0,1.0,1,1.0,0,0.0,5.0
316,1,3,0,57,12.0,3.0,40.0,1300000,238,4.0,0,1.0,1,1.0,0,1.0,1.0
317,1,3,0,61,60.0,4.0,48.0,450000,297,3.0,0,3.0,1,0.0,1,1.0,1.0
318,1,3,1,52,78.0,4.0,48.0,800000,297,4.0,0,3.0,1,0.0,1,1.0,1.0
320,1,3,0,21,,,,934594,297,6.0,1,3.0,0,,0,,
321,1,3,1,43,24.0,1.0,65.0,800000,194,6.0,1,1.0,1,0.0,0,1.0,2.0
322,1,3,0,43,,,,934594,194,7.0,0,1.0,0,,0,,
325,1,3,0,61,,,,300000,254,6.0,1,1.0,0,,0,,
326,1,2,1,42,43.0,1.0,48.0,1403806,263,7.0,0,1.0,1,1.0,0,0.0,5.0
327,1,3,0,70,,,,120000,235,5.0,0,3.0,0,,0,,
330,1,3,0,50,24.0,4.0,28.0,1130000,201,7.0,0,3.0,1,0.0,1,1.0,1.0
332,1,3,1,50,,,,1000000,263,5.0,0,,0,,0,,
333,1,4,0,26,7.0,1.0,60.0,3000000,242,7.0,0,1.0,1,0.0,0,1.0,2.0
334,1,4,0,48,7.0,5.0,60.0,5000000,242,5.0,0,1.0,1,0.0,0,1.0,2.0
335,1,3,1,36,24.0,4.0,70.0,1250000,255,6.0,1,3.0,1,0.0,1,1.0,2.0
337,1,2,0,70,,,,649191,223,3.0,0,1.0,0,,0,,
338,1,2,1,22,13.0,1.0,48.0,820857,223,6.0,1,1.0,1,1.0,0,0.0,4.0
339,1,2,1,73,,,,934594,223,3.0,0,1.0,0,,0,,
340,1,3,1,81,,,,934594,185,5.0,0,1.0,0,,0,,
342,1,3,0,69,,,,934594,185,4.0,0,1.0,0,,0,,
343,1,3,1,44,13.0,1.0,50.0,1408000,185,7.0,0,1.0,1,1.0,0,0.0,4.0
344,1,3,0,41,120.0,1.0,48.0,3250000,185,7.0,0,1.0,1,1.0,0,0.0,5.0
345,1,3,1,46,,,,934594,185,5.0,0,,0,,0,,
348,1,2,1,73,12.0,6.0,60.0,91666,286,3.0,0,1.0,1,0.0,0,1.0,2.0
349,1,2,0,44,144.0,1.0,48.0,1254000,286,6.0,1,1.0,1,1.0,0,0.0,5.0
350,1,2,1,21,12.0,1.0,48.0,1383140,286,7.0,0,1.0,1,1.0,0,0.0,5.0
352,1,2,1,19,11.0,2.0,48.0,500000,286,6.0,1,2.0,1,1.0,0,0.0,5.0
353,1,2,1,37,4.0,4.0,60.0,800000,286,6.0,1,1.0,1,0.0,1,1.0,1.0
354,1,2,0,39,20.0,1.0,48.0,991333,286,7.0,0,1.0,1,1.0,0,0.0,3.0
355,1,2,0,64,,,,400000,286,5.0,0,1.0,0,,0,,
357,1,2,0,69,,,,934594,235,4.0,0,1.0,0,,0,,
358,1,2,1,19,5.0,2.0,70.0,300000,235,6.0,1,2.0,1,1.0,0,0.0,5.0
359,1,4,1,59,72.0,1.0,48.0,8272166,199,7.0,0,1.0,1,1.0,0,1.0,2.0
360,1,4,0,53,72.0,1.0,48.0,1260394,199,7.0,0,1.0,1,1.0,0,1.0,2.0
361,1,4,0,26,,,,934594,199,7.0,0,1.0,0,,0,,
363,1,4,1,20,,,,934594,199,7.0,0,1.0,0,,0,,
364,1,4,0,51,9.0,2.0,60.0,12000000,250,7.0,0,1.0,1,1.0,0,0.0,5.0
365,1,4,0,78,,,,934594,250,4.0,0,1.0,0,,0,,
366,1,4,1,50,10.0,4.0,60.0,2500000,250,7.0,0,1.0,1,0.0,1,1.0,1.0
367,1,4,1,31,60.0,1.0,48.0,2683333,219,7.0,0,1.0,1,1.0,0,1.0,2.0
368,1,4,0,56,360.0,5.0,30.0,3000000,219,7.0,0,1.0,1,0.0,0,0.0,3.0
369,1,4,1,18,,,,934594,219,7.0,0,1.0,0,,0,,
370,1,4,1,58,360.0,5.0,40.0,3000000,219,7.0,0,1.0,1,0.0,0,0.0,3.0
371,1,4,0,28,1.0,1.0,36.0,1623333,219,7.0,0,1.0,1,1.0,0,0.0,5.0
372,1,3,1,55,120.0,4.0,48.0,500000,317,6.0,1,1.0,1,0.0,1,1.0,1.0
373,1,3,0,50,4.0,4.0,40.0,1200000,317,6.0,1,1.0,1,0.0,1,1.0,1.0
375,1,3,1,26,24.0,1.0,48.0,1300000,212,7.0,0,1.0,1,1.0,0,0.0,4.0
376,1,3,0,46,48.0,4.0,40.0,450000,212,5.0,0,3.0,1,0.0,1,1.0,1.0
377,1,3,1,58,480.0,4.0,48.0,900000,212,3.0,0,3.0,1,0.0,1,1.0,1.0
380,1,2,1,87,,,,5500000,234,7.0,0,1.0,0,,0,,
381,1,2,0,57,240.0,2.0,40.0,1550000,234,7.0,0,2.0,1,1.0,0,0.0,5.0
382,1,3,0,49,1.0,1.0,60.0,600000,235,7.0,0,1.0,1,1.0,0,1.0,2.0
383,1,3,1,20,,,,934594,235,7.0,0,1.0,0,,0,,
384,1,3,0,75,,,,781000,235,1.0,0,1.0,0,,0,,
385,1,2,0,58,120.0,2.0,48.0,3375000,239,7.0,0,1.0,1,1.0,0,0.0,5.0
386,1,2,0,90,,,,934594,239,1.0,0,3.0,0,,0,,
388,1,3,0,55,50.0,4.0,40.0,400000,236,5.0,0,1.0,1,0.0,1,1.0,1.0
391,1,3,1,25,12.0,1.0,48.0,1033357,236,6.0,1,1.0,1,1.0,0,0.0,4.0
392,1,2,0,29,60.0,4.0,70.0,600000,303,4.0,0,1.0,1,0.0,1,1.0,1.0
394,1,2,1,36,6.0,4.0,54.0,800000,303,6.0,1,1.0,1,0.0,1,1.0,1.0
395,1,3,0,85,,,,550000,246,3.0,0,1.0,0,,0,,
396,1,3,0,51,4.0,4.0,45.0,360000,246,4.0,0,1.0,1,0.0,1,1.0,1.0
398,1,3,0,26,3.0,1.0,48.0,2837333,338,7.0,0,1.0,1,1.0,0,0.0,5.0
399,1,3,0,57,,,,737717,254,6.0,1,1.0,0,,0,,
400,1,1,0,57,240.0,4.0,48.0,300000,234,1.0,0,3.0,1,0.0,1,1.0,1.0
401,1,1,1,65,,,,30000,234,5.0,0,3.0,0,,0,,
402,1,3,0,44,,,,200000,255,6.0,1,1.0,0,,0,,
403,1,3,1,51,6.0,1.0,48.0,1500000,255,6.0,1,1.0,1,0.0,0,1.0,2.0
404,1,3,1,45,3.0,1.0,70.0,781000,205,6.0,1,1.0,1,1.0,0,1.0,2.0
405,1,3,0,50,,,,400000,205,6.0,1,1.0,0,,0,,
407,1,2,1,38,60.0,1.0,48.0,916666,194,6.0,1,1.0,1,1.0,0,0.0,4.0
411,1,1,1,39,5.0,4.0,72.0,1500000,255,7.0,0,1.0,1,1.0,1,1.0,1.0
412,1,1,0,29,,,,934594,255,7.0,0,,0,,0,,
413,1,3,1,36,54.0,2.0,54.0,5287500,263,7.0,0,1.0,1,1.0,0,0.0,5.0
414,1,1,1,20,9.0,1.0,50.0,650000,194,5.0,0,3.0,1,0.0,0,1.0,2.0
416,1,1,1,47,12.0,4.0,60.0,1300000,194,3.0,0,3.0,1,0.0,1,1.0,1.0
417,1,1,0,49,3.0,4.0,24.0,300000,194,5.0,0,3.0,1,0.0,1,1.0,1.0
