,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,ingtot,fweight,maxEducLevel,college,regSalud,pea,formal,cuentaPropia,microEmpresa,sizeFirm
15693,6,3,0,37,144.0,1.0,48.0,930929,216,6.0,1,1.0,1,1.0,0,0.0,5.0
15694,6,1,0,56,240.0,3.0,48.0,1051119,232,3.0,0,1.0,1,1.0,0,1.0,1.0
15695,6,1,1,53,240.0,4.0,48.0,1500000,232,6.0,1,3.0,1,0.0,1,1.0,1.0
15696,6,1,1,31,120.0,4.0,30.0,700000,232,6.0,1,1.0,1,0.0,1,1.0,1.0
15697,6,5,0,38,120.0,1.0,40.0,3683333,227,7.0,0,1.0,1,1.0,0,0.0,5.0
15698,6,1,1,26,36.0,1.0,77.0,700000,225,6.0,1,3.0,1,0.0,0,1.0,2.0
15699,6,2,0,31,36.0,4.0,40.0,780000,227,5.0,0,3.0,1,0.0,1,1.0,1.0
15701,6,2,1,25,1.0,1.0,48.0,1021544,201,6.0,1,1.0,1,1.0,0,0.0,5.0
15702,6,3,1,40,48.0,1.0,48.0,842718,225,6.0,1,1.0,1,1.0,0,1.0,2.0
15703,6,4,1,30,96.0,1.0,40.0,4333333,225,7.0,0,1.0,1,1.0,0,0.0,5.0
15704,6,3,1,42,8.0,1.0,48.0,1500000,216,5.0,0,1.0,1,1.0,0,0.0,4.0
15708,6,3,0,39,6.0,1.0,48.0,1156000,274,6.0,1,1.0,1,0.0,0,0.0,4.0
15710,6,2,1,55,4.0,1.0,48.0,902786,207,5.0,0,1.0,1,1.0,0,0.0,4.0
15711,6,2,0,47,4.0,1.0,48.0,1331953,207,3.0,0,1.0,1,1.0,0,0.0,4.0
15712,6,2,0,29,,,,934594,207,6.0,1,1.0,0,,0,,
15713,6,2,1,19,12.0,1.0,48.0,1736120,207,6.0,1,1.0,1,1.0,0,0.0,4.0
15715,6,3,1,38,2.0,1.0,48.0,1140000,256,5.0,0,1.0,1,1.0,0,0.0,5.0
15716,6,3,0,41,6.0,1.0,48.0,869453,256,6.0,1,1.0,1,1.0,0,0.0,5.0
15718,6,3,1,42,30.0,1.0,48.0,2166666,289,7.0,0,1.0,1,1.0,0,0.0,5.0
15719,6,3,0,40,96.0,1.0,45.0,6291666,289,7.0,0,1.0,1,1.0,0,0.0,5.0
15725,6,2,1,29,36.0,1.0,48.0,1137718,297,6.0,1,1.0,1,1.0,0,0.0,5.0
15726,6,2,0,21,14.0,3.0,30.0,1089166,297,5.0,0,1.0,1,0.0,0,1.0,1.0
15728,6,2,0,55,60.0,1.0,48.0,1430929,253,3.0,0,1.0,1,1.0,0,0.0,5.0
15730,6,3,0,50,120.0,4.0,25.0,1500000,256,6.0,1,1.0,1,1.0,1,1.0,1.0
15731,6,3,0,41,6.0,4.0,40.0,5100000,256,7.0,0,1.0,1,1.0,1,0.0,5.0
15732,6,3,1,40,60.0,2.0,48.0,5168333,256,7.0,0,1.0,1,1.0,0,0.0,5.0
15733,6,2,1,36,10.0,1.0,78.0,1528211,289,6.0,1,1.0,1,1.0,0,0.0,3.0
15734,6,2,0,34,,,,934594,289,3.0,0,,0,,0,,
15737,6,3,1,61,156.0,4.0,40.0,4500000,215,7.0,0,1.0,1,1.0,1,0.0,5.0
15741,6,2,1,34,3.0,1.0,50.0,1221453,278,6.0,1,1.0,1,1.0,0,0.0,5.0
15742,6,2,0,33,3.0,1.0,48.0,1158544,278,6.0,1,1.0,1,1.0,0,0.0,5.0
15743,6,2,1,37,48.0,1.0,48.0,1094211,278,6.0,1,1.0,1,1.0,0,0.0,4.0
15744,6,2,1,75,,,,100000,168,3.0,0,1.0,0,,0,,
15745,6,2,0,46,60.0,3.0,48.0,1036666,168,3.0,0,1.0,1,1.0,0,1.0,1.0
15746,6,2,0,21,,,,934594,168,6.0,1,,0,,0,,
15748,6,3,0,50,4.0,4.0,72.0,1950000,178,7.0,0,1.0,1,0.0,1,1.0,2.0
15749,6,3,0,23,18.0,1.0,48.0,936119,178,7.0,0,1.0,1,1.0,0,1.0,2.0
15750,6,3,0,21,48.0,1.0,48.0,869453,178,7.0,0,1.0,1,1.0,0,0.0,4.0
15751,6,2,1,73,,,,697000,216,3.0,0,1.0,0,,0,,
15752,6,2,0,52,2.0,3.0,48.0,1200929,216,3.0,0,1.0,1,0.0,0,1.0,1.0
15755,6,2,0,67,,,,500000,262,3.0,0,3.0,0,,0,,
15756,6,2,1,38,240.0,4.0,50.0,800000,262,6.0,1,3.0,1,0.0,1,1.0,1.0
15757,6,2,0,35,24.0,1.0,40.0,750000,262,6.0,1,1.0,1,1.0,0,1.0,2.0
15758,6,2,0,30,36.0,1.0,48.0,956786,262,6.0,1,1.0,1,1.0,0,0.0,5.0
15759,6,2,1,28,24.0,1.0,48.0,923619,262,6.0,1,1.0,1,1.0,0,0.0,5.0
15760,6,3,1,54,240.0,4.0,40.0,1000000,229,4.0,0,1.0,1,0.0,1,1.0,1.0
15761,6,3,0,50,,,,934594,229,4.0,0,1.0,0,,0,,
15762,6,3,1,26,18.0,4.0,70.0,2500000,229,6.0,1,1.0,1,1.0,1,1.0,1.0
15764,6,3,1,37,60.0,5.0,84.0,250000,215,6.0,1,1.0,1,1.0,0,1.0,2.0
15765,6,3,0,32,36.0,4.0,48.0,1000000,215,6.0,1,1.0,1,1.0,1,1.0,1.0
15768,6,3,1,40,60.0,1.0,48.0,1231544,216,7.0,0,1.0,1,1.0,0,0.0,3.0
15769,6,3,0,41,48.0,2.0,48.0,1273211,216,7.0,0,1.0,1,1.0,0,0.0,5.0
15771,6,2,1,61,180.0,4.0,53.0,970000,225,4.0,0,3.0,1,0.0,1,0.0,5.0
15772,6,2,0,53,180.0,4.0,53.0,600000,225,4.0,0,3.0,1,0.0,1,0.0,5.0
15773,6,2,0,25,1.0,1.0,34.0,1002786,225,7.0,0,1.0,1,1.0,0,0.0,5.0
15774,6,2,0,89,,,,120000,225,1.0,0,3.0,0,,0,,
